split,query_index,ids
tuning,0,97120;6646;30758;21362;87064;35728;45454;6644;31080;7682
tuning,1,20828;43012;55916;46916;19522;36172;63958;6428;73110;24854
tuning,2,33556;69818;16278;13890;82350;2026;18602;97124;4169;63500
tuning,3,21046;81634;28948;60878;81382;80840;34212;34010;58974;49056
tuning,4,53030;24850;15850;43594;23100;20830;75994;9940;69626;358
tuning,5,18602;20936;19576;18780;19850;18726;19254;4169;39008;22144
tuning,6,53706;99709;1330;55176;2994;3462;496;13514;10528;55349
tuning,7,56370;94560;63450;96056;2774;54258;62944;19658;57048;53850
tuning,8,35258;53284;35155;27616;12856;1670;77080;72686;53421;97698
tuning,9,69662;49174;54109;59060;15480;724;56024;29126;55388;66772
tuning,10,99749;99020;99564;91580;31035;74396;63343;62434;30194;50070
tuning,11,62764;70848;24043;34536;27682;34690;10310;51568;89896;46339
tuning,12,64742;15874;15783;20488;15487;48244;17802;60388;62044;47754
tuning,13,99821;37220;41092;684;80784;99681;58446;58578;40228;13890
tuning,14,65244;55686;64834;11164;64788;3042;82992;61408;26692;21602
tuning,15,23749;9254;14262;84806;16780;64522;77496;11444;45373;22872
tuning,16,99709;54194;96912;3462;22160;24102;23196;8943;80668;26574
tuning,17,2047;910;17382;23030;35456;94242;59164;15738;77368;75309
tuning,18,51498;22718;45764;47490;81778;96146;74836;63958;21320;21278
tuning,19,97124;20376;52764;72996;33556;13922;42194;13958;29734;36030
tuning,20,87201;26528;88972;76563;90112;96484;59280;16215;56400;39084
tuning,21,21320;36288;74836;47490;26744;40286;22718;28376;75858;69818
tuning,22,99821;37220;13890;88676;35124;26032;14160;98700;14992;99681
tuning,23,88972;76563;87201;96484;26528;35494;17056;56400;90112;71644
tuning,24,90350;94732;98636;98731;37596;86180;12422;68487;90614;93798
tuning,25,9312;14847;9582;77306;51154;81854;89286;14966;77496;12428
tuning,26,97120;6646;6644;35728;45454;31080;21362;33206;24826;18426
tuning,27,1080;2344;574;85376;97120;6234;62213;522;35114;27626
tuning,28,97120;6646;6644;35728;45454;31080;7682;21362;5946;24826
tuning,29,18794;89938;39232;26556;52256;64021;40034;40971;40310;30904
tuning,30,71470;84858;72527;51470;15709;78760;4154;26970;71330;95885
tuning,31,61556;68898;76623;51702;16648;39694;82659;5348;7088;38345
tuning,32,91992;92700;23671;23824;26182;23570;23754;63030;82456;69510
tuning,33,25442;49848;12951;21656;50008;89808;26970;38750;19828;78760
tuning,34,57089;85552;48834;16100;84300;82682;44702;2462;5844;17052
tuning,35,78174;96238;5992;70237;10760;97440;25934;56490;66774;11758
tuning,36,1011;40868;57471;57712;76818;85658;11220;33882;9870;40946
tuning,37,24114;41060;90814;23061;10316;16210;14902;4934;59770;3979
tuning,38,95414;94002;89125;32302;40628;22416;10663;25168;78268;64484
tuning,39,2068;91243;98102;99516;78930;99476;65880;93036;97959;10610
tuning,40,99434;340;376;21016;53421;50716;63880;91050;7998;36044
tuning,41,99498;47582;98080;104;68945;86510;28034;76996;29068;77252
tuning,42,85584;43874;33638;17326;22546;45174;86016;32719;87728;44925
tuning,43,81074;69164;67560;76453;78930;87093;14064;79492;3994;38086
tuning,44,20952;22476;28912;17926;15200;2618;59580;36210;85676;42790
