run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13,1,872449,1,1,,1,100000,403136,48,311181248,125,1071162,28032,587251,842434,325984,198432,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,1,11,1,875413,1,1,,1,100000,403136,48,311181248,125,1071162,25709,586279,848804,326304,197856,Wgpu,Wgpu:1,80,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,2,19,1,870617,1,1,,1,100000,403136,48,311181248,125,1071162,25419,584947,843706,325824,197408,Wgpu,Wgpu:1,80,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,3,46,1,873320,1,1,,1,100000,403136,48,311181248,125,1071162,25189,586470,848143,326816,197824,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,4,37,1,880701,1,1,,1,100000,403136,48,311181248,125,1071162,25668,584837,854793,326368,197984,Wgpu,Wgpu:1,90,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,5,27,1,879540,1,1,,1,100000,403136,48,311181248,125,1071162,25628,586440,854693,326336,197792,Wgpu,Wgpu:1,90,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,6,7,1,871108,1,1,,1,100000,403136,48,311181248,125,1071162,25488,586010,845609,326016,198208,Wgpu,Wgpu:1,91,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,7,15,1,879049,1,1,,1,100000,403136,48,311181248,125,1071162,26559,586410,854242,326944,197760,Wgpu,Wgpu:1,70,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,8,41,1,865609,1,1,,1,100000,403136,48,311181248,125,1071162,25459,590566,840031,326848,198496,Wgpu,Wgpu:1,90,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
0,9,50,1,874052,1,1,,1,100000,403136,48,311181248,125,1071162,27171,588213,847251,326208,197856,Wgpu,Wgpu:1,100,not-applicable,,false,Cached,0,0,100000,true,All,SortedRows,100000,100000,400000,1
