id,user_id,timestamp_micros
0,89,39173
1,3,-46674
2,80,30484
3,0,-49226
4,83,33683
5,91,41948
6,85,35254
7,64,14624
8,83,33249
9,6,-43494
10,73,23485
11,35,-14090
12,97,47803
13,92,42802
14,89,39797
15,11,-38872
16,77,27539
17,16,-33184
18,85,35825
19,18,-31170
20,63,13567
21,41,-8560
22,2,-47247
23,56,6630
24,68,18314
25,5,-44166
26,66,16317
27,11,-38802
28,69,19591
29,3,-46614
30,34,-15552
31,48,-1196
32,77,27179
33,12,-37144
34,71,21624
35,3,-46648
36,74,24111
37,2,-47444
38,85,35025
39,0,-49388
40,98,48666
41,36,-13210
42,53,3602
43,0,-49971
44,47,-2663
45,93,43630
46,79,29105
47,17,-32936
48,74,24965
49,79,29024
50,0,-49144
51,9,-40642
52,79,29977
53,62,12342
54,51,1602
55,96,46304
56,76,26539
57,52,2296
58,78,28465
59,69,19910
60,78,28195
61,65,15572
62,30,-19219
63,2,-47902
64,35,-14013
65,5,-44756
66,18,-31575
67,0,-49546
68,73,23963
69,2,-47716
70,33,-16019
71,2,-47384
72,87,37672
73,93,43540
74,16,-33206
75,4,-45148
76,3,-46013
77,40,-9444
78,88,38781
79,62,12522
80,66,16081
81,24,-25214
82,92,42456
83,26,-23876
84,94,44511
85,13,-36700
86,61,11852
87,1,-48172
88,31,-18133
89,15,-34688
90,50,64
91,72,22804
92,53,3892
93,61,11638
94,92,42713
95,6,-43218
96,59,9691
97,0,-49674
98,2,-47687
99,14,-35956
100,73,23266
101,26,-23494
102,54,4933
103,86,36784
104,56,6925
105,13,-36582
106,50,85
107,1,-48858
108,81,31239
109,50,986
110,49,-236
111,0,-49672
112,87,37243
113,46,-3838
114,41,-8106
115,1,-48868
116,56,6465
117,75,25940
118,48,-1003
119,41,-8656
120,22,-27179
121,92,42410
122,59,9156
123,12,-37564
124,58,8135
125,3,-46888
126,11,-38002
127,1,-48930
128,88,38804
129,70,20250
130,62,12664
131,41,-8326
132,96,46694
133,31,-18850
134,56,6249
135,0,-49260
136,85,35820
137,30,-19510
138,20,-29300
139,4,-45682
140,66,16048
141,5,-44700
142,11,-38750
143,93,43912
144,83,33427
145,1,-48396
146,84,34884
147,91,41476
148,71,21847
149,93,43370
150,67,17469
151,6,-43102
152,75,25651
153,23,-26408
154,76,26042
155,2,-47962
156,77,27971
157,39,-10080
158,42,-7932
159,26,-23558
160,83,33897
161,63,13274
162,78,28038
163,33,-16336
164,91,41519
165,46,-3252
166,14,-35863
167,7,-42138
168,66,16661
169,65,15106
170,40,-9039
171,2,-47418
172,83,33637
173,5,-44774
174,68,18397
175,62,12024
176,64,14416
177,10,-39794
178,72,22854
179,55,5938
180,88,38201
181,68,18574
182,25,-24399
183,38,-11786
184,36,-13515
185,2,-47878
186,15,-34882
187,71,21560
188,57,7664
189,5,-44268
190,44,-5580
191,16,-33954
192,99,49192
193,21,-28282
194,12,-37611
195,3,-46476
196,88,38279
197,20,-29732
198,8,-41291
199,3,-46410
200,73,23917
201,61,11626
202,7,-42211
203,0,-49066
204,14,-35765
205,57,7460
206,29,-20600
207,1,-48690
208,53,3731
209,35,-14826
210,5,-44871
211,95,45890
212,53,3135
213,87,37500
214,13,-36331
215,80,30510
216,29,-20893
217,1,-48584
218,57,7932
219,39,-10186
220,74,24871
221,12,-37834
222,67,17816
223,6,-43748
224,42,-7549
225,3,-46090
226,91,41712
227,60,10218
228,96,46959
229,0,-49288
230,93,43113
231,24,-25260
232,73,23432
233,24,-25156
234,35,-14887
235,6,-43706
236,89,39927
237,0,-49911
238,51,1937
239,4,-45774
240,68,18778
241,83,33390
242,38,-11167
243,12,-37772
244,62,12785
245,50,272
246,22,-27974
247,43,-6416
248,9,-40661
249,0,-49912
250,36,-13622
251,49,-976
252,99,49191
253,28,-21648
254,3,-46771
255,44,-5694
256,84,34315
257,9,-40052
258,44,-5528
259,1,-48910
260,82,32507
261,38,-11882
262,27,-22678
263,84,34462
264,13,-36551
265,47,-2926
266,60,10330
267,3,-46286
268,97,47553
269,62,12528
270,20,-29970
271,0,-49813
272,54,4586
273,54,4664
274,21,-28079
275,3,-46266
276,83,33044
277,1,-48996
278,76,26321
279,9,-40494
280,61,11648
281,79,29078
282,30,-19079
283,72,22968
284,97,47371
285,1,-48794
286,62,12793
287,27,-22744
288,92,42379
289,1,-48764
290,46,-3134
291,6,-43796
292,84,34303
293,59,9960
294,69,19225
295,20,-29448
296,51,1379
297,33,-16396
298,49,-486
299,80,30428
300,95,45585
