id,user_id,timestamp_micros
0,92,2100
1,51,58
2,33,-815
3,5,-2208
4,62,643
5,40,-478
6,42,-392
7,81,1562
8,21,-1401
9,26,-1190
10,20,-1463
11,37,-602
12,99,2483
13,31,-910
14,8,-2080
15,79,1494
16,98,2407
17,0,-2478
18,63,665
19,0,-2498
20,91,2089
21,5,-2234
22,86,1832
23,26,-1180
24,67,873
25,8,-2090
26,94,2237
27,86,1834
28,75,1296
29,95,2276
30,70,1024
31,0,-2474
32,25,-1207
33,41,-432
34,54,237
35,2,-2396
36,90,2023
37,0,-2477
38,53,188
39,77,1364
40,99,2464
41,0,-2461
42,8,-2052
43,1,-2450
44,57,371
45,6,-2194
46,24,-1263
47,31,-928
48,50,18
49,19,-1540
50,66,833
51,53,164
52,35,-701
53,86,1826
54,64,705
55,84,1726
56,48,-65
57,73,1180
58,12,-1883
59,76,1348
60,97,2387
61,1,-2434
62,94,2232
63,3,-2332
64,70,1045
65,74,1224
66,94,2236
67,1,-2437
68,66,814
69,33,-846
70,72,1114
71,19,-1532
72,66,838
73,13,-1844
74,27,-1131
75,89,1986
76,99,2455
77,19,-1534
78,93,2198
79,29,-1006
80,74,1202
81,7,-2142
82,4,-2275
83,91,2094
84,26,-1197
85,84,1740
86,26,-1199
87,49,-6
88,38,-561
89,33,-812
90,74,1233
91,71,1068
92,28,-1085
93,15,-1730
94,89,1972
95,2,-2398
96,65,750
97,3,-2314
98,72,1137
99,81,1572
100,80,1500
101,2,-2392
102,66,829
103,1,-2441
104,82,1613
105,44,-284
106,49,-3
107,60,512
108,74,1247
109,26,-1198
110,45,-239
111,33,-844
112,91,2079
113,9,-2042
114,41,-438
115,19,-1520
116,84,1733
117,51,96
118,29,-1023
119,2,-2397
120,82,1615
121,76,1326
122,85,1769
123,42,-384
124,92,2145
125,0,-2496
126,76,1324
127,99,2450
128,92,2125
129,37,-648
130,81,1584
131,25,-1212
132,42,-353
133,25,-1238
134,24,-1284
135,19,-1510
136,86,1801
137,0,-2492
138,71,1060
139,41,-424
140,95,2268
141,9,-2010
142,33,-835
143,1,-2403
144,7,-2145
145,49,-22
146,39,-503
147,3,-2302
